type,time,year,month,date,breau,station,lat,lon
機車竊盜,1060831,106,8,31,中壢分局,中福所,24.9651087,121.2319182
機車竊盜,1060831,106,8,31,桃園分局,武陵所,24.9895922,121.3117475
機車竊盜,1060831,106,8,31,大園分局,觀音所,25.0406717,121.1039278
機車竊盜,1060831,106,8,31,龜山分局,大華所,25.0616876,121.3675081
機車竊盜,1060831,106,8,31,大園分局,三?所,25.0755828,121.2619239
機車竊盜,1060830,106,8,30,平鎮分局,平鎮所,24.9190643,121.2110783
機車竊盜,1060830,106,8,30,八德分局,四維所,24.9608527,121.2952091
機車竊盜,1060830,106,8,30,桃園分局,大樹所,24.988037,121.313857
機車竊盜,1060830,106,8,30,龜山分局,坪頂所,25.0588198,121.3656613
機車竊盜,1060829,106,8,29,龍潭分局,聖亭所,24.8750267,121.2136791
機車竊盜,1060829,106,8,29,平鎮分局,平鎮所,24.9135749,121.2072554
機車竊盜,1060829,106,8,29,中壢分局,自強所,24.9630157,121.2639886
機車竊盜,1060829,106,8,29,龜山分局,龜山所,25.0015829,121.3543967
機車竊盜,1060829,106,8,29,中壢分局,青埔所,25.0143496,121.2216144
機車竊盜,1060828,106,8,28,龍潭分局,石門所,24.8350441,121.2289495
機車竊盜,1060828,106,8,28,中壢分局,龍興所,24.9357859,121.233166
機車竊盜,1060828,106,8,28,平鎮分局,北勢所,24.9454616,121.2181718
機車竊盜,1060828,106,8,28,中壢分局,普仁所,24.9560294,121.2637443
機車竊盜,1060828,106,8,28,桃園分局,武陵所,24.9925507,121.3157674
機車竊盜,1060828,106,8,28,桃園分局,同安所,25.0255891,121.3058623
機車竊盜,1060828,106,8,28,龜山分局,大華所,25.0543963,121.3691333
機車竊盜,1060828,106,8,28,蘆竹分局,南崁所,25.0809234,121.2858283
機車竊盜,1060827,106,8,27,龍潭分局,中興所,24.8769676,121.2348227
機車竊盜,1060827,106,8,27,大溪分局,南雅所,24.8851979,121.2873367
機車竊盜,1060827,106,8,27,中壢分局,龍興所,24.927939,121.240453
機車竊盜,1060827,106,8,27,八德分局,四維所,24.959871,121.2988441
機車竊盜,1060827,106,8,27,八德分局,四維所,24.9601905,121.2981642
機車竊盜,1060827,106,8,27,八德分局,四維所,24.962488,121.30031
機車竊盜,1060827,106,8,27,中壢分局,文化所,24.9727564,121.253448
機車竊盜,1060827,106,8,27,中壢分局,文化所,24.9788115,121.2720741
機車竊盜,1060827,106,8,27,桃園分局,大樹所,24.983048,121.314283
機車竊盜,1060826,106,8,26,龍潭分局,聖亭所,24.8853941,121.2034906
機車竊盜,1060826,106,8,26,平鎮分局,平鎮所,24.9071123,121.2195939
機車竊盜,1060826,106,8,26,龜山分局,龜山所,24.9967059,121.3317102
機車竊盜,1060826,106,8,26,桃園分局,埔子所,25.0004495,121.3038304
機車竊盜,1060825,106,8,25,楊梅分局,草湳所,24.9049382,121.1760284
機車竊盜,1060825,106,8,25,楊梅分局,草湳所,24.919588,121.183502
機車竊盜,1060825,106,8,25,中壢分局,中壢所,24.9516234,121.2254976
機車竊盜,1060824,106,8,24,平鎮分局,平鎮所,24.9028033,121.2148564
機車竊盜,1060824,106,8,24,楊梅分局,草湳所,24.9086727,121.1683205
機車竊盜,1060824,106,8,24,中壢分局,自強所,24.9723295,121.2634172
機車竊盜,1060824,106,8,24,桃園分局,武陵所,24.9896056,121.3118729
機車竊盜,1060824,106,8,24,大園分局,大園所,25.064231,121.193693
機車竊盜,1060823,106,8,23,桃園分局,武陵所,24.982572,121.304174
機車竊盜,1060822,106,8,22,龍潭分局,龍潭所,24.8660579,121.2181217
機車竊盜,1060822,106,8,22,龍潭分局,中興所,24.873653,121.242051
機車竊盜,1060822,106,8,22,八德分局,八德所,24.9320417,121.2874947
機車竊盜,1060822,106,8,22,八德分局,八德所,24.937811,121.301055
機車竊盜,1060822,106,8,22,中壢分局,中壢所,24.9563477,121.2272407
機車竊盜,1060822,106,8,22,八德分局,四維所,24.9596672,121.2985583
機車竊盜,1060822,106,8,22,中壢分局,中福所,24.9632571,121.2287756
機車竊盜,1060822,106,8,22,桃園分局,景福所,24.9941372,121.3116279
機車竊盜,1060822,106,8,22,桃園分局,青溪所,25.0080507,121.3187056
機車竊盜,1060822,106,8,22,大園分局,新坡所,25.024614,121.14241
機車竊盜,1060822,106,8,22,龜山分局,大華所,25.0561074,121.3687674
機車竊盜,1060821,106,8,21,中壢分局,普仁所,24.9581959,121.239154
機車竊盜,1060821,106,8,21,八德分局,四維所,24.9631652,121.2999424
機車竊盜,1060821,106,8,21,桃園分局,武陵所,24.991299,121.31146
機車竊盜,1060821,106,8,21,桃園分局,中路所,24.9916129,121.290384
機車竊盜,1060820,106,8,20,桃園分局,中路所,24.991558,121.292196
機車竊盜,1060819,106,8,19,龍潭分局,中興所,24.8747383,121.2348636
機車竊盜,1060819,106,8,19,八德分局,八德所,24.929218,121.286551
機車竊盜,1060819,106,8,19,中壢分局,龍興所,24.9309555,121.2568256
機車竊盜,1060819,106,8,19,楊梅分局,富岡所,24.9348616,121.0840914
機車竊盜,1060819,106,8,19,中壢分局,普仁所,24.9623587,121.2320509
機車竊盜,1060819,106,8,19,蘆竹分局,大竹所,24.9921797,121.2709554
機車竊盜,1060819,106,8,19,桃園分局,同安所,25.025838,121.3060888
機車竊盜,1060818,106,8,18,龍潭分局,三和所,24.8681749,121.1750465
機車竊盜,1060818,106,8,18,中壢分局,龍興所,24.9301341,121.2495663
機車竊盜,1060818,106,8,18,桃園分局,大樹所,24.989278,121.321323
