"place_id","geometry.location.lat","geometry.location.lng","central_lat","central_lng","type"
"ChIJXZyFKESeQjQRVMHC-s0eBuY",25.095478,121.201859,25.1003214426958,121.198898817907,"shoe_store"
"ChIJfUzYnb8gaDQRuT2hiJsWpUw",25.066172,121.197467,25.0832487288706,121.193721683101,"shoe_store"
"ChIJD4bqmcafQjQRLTTK7nuXeEY",25.07815,121.2323104,25.083333,121.21855,"shoe_store"
"ChIJI3M3JcSfQjQR4Kv1B9fsWrY",25.077012,121.231976,25.083333,121.21855,"shoe_store"
"ChIJ5xKTmMafQjQRtM-NRhJi1kM",25.0779433,121.2325245,25.083333,121.21855,"shoe_store"
"ChIJd5nKecCfQjQRE63CnmmPy2M",25.081495,121.23751,25.083333,121.21855,"shoe_store"
"ChIJw8K_ecCfQjQRWuPbqx4u-WI",25.081423,121.2375019,25.083333,121.21855,"shoe_store"
"ChIJB-VkesCfQjQRMBC0pea_2Lo",25.08119,121.237545,25.083333,121.21855,"shoe_store"
"ChIJzdIaisafQjQRpDI2mb1dFI8",25.0788712,121.2311914,25.083333,121.21855,"shoe_store"
"ChIJjXCJG8SfQjQRplGBnKrjXUc",25.0770349,121.2330585,25.083333,121.21855,"shoe_store"
"ChIJwbtRcL-fQjQRYw0KgeaxchA",25.0827334,121.2363051,25.083333,121.21855,"shoe_store"
"ChIJh0dnFsCfQjQRJBgo_OdIOKc",25.0802063,121.238748,25.083333,121.24345,"shoe_store"
"ChIJg9I_R8CfQjQRF8ZeKIgq_1U",25.0797607,121.2382152,25.083333,121.24345,"shoe_store"
"ChIJgzkYqZggaDQRKsQBwmFKHV0",25.064497,121.1939432,25.056475,121.19365,"shoe_store"
"ChIJz854sHSgQjQRjFQUqIWk-Cw",25.053562,121.286233,25.056475,121.26835,"shoe_store"
"ChIJReiujXSgQjQREWqPGIFztI0",25.0530534,121.2877121,25.056475,121.26835,"shoe_store"
"ChIJaeiujXSgQjQRyWhmoHQUolk",25.0530456,121.287707,25.056475,121.26835,"shoe_store"
"ChIJz854sHSgQjQRjjXoTeHF0p4",25.0533274,121.287887,25.056475,121.26835,"shoe_store"
"ChIJReiujXSgQjQRfarWBmAejx4",25.0535,121.288451,25.056475,121.29325,"shoe_store"
"ChIJvyQjOHagQjQRtGwNIzF7VPg",25.048629,121.2933509,25.056475,121.29325,"shoe_store"
"ChIJPX2Vn9kfaDQRPruX0Xh2iLk",25.043347,121.294114,25.056475,121.29325,"shoe_store"
